Year,Month,District,Accident,Deaths,Injured
2011,6,Mapo,136,1,194
2011,7,Mapo,158,3,302
2011,8,Mapo,122,2,179
2011,9,Mapo,140,2,219
2011,10,Mapo,137,0,203
2011,11,Mapo,128,2,189
2011,12,Mapo,121,1,163
2011,1,Yangcheon,122,2,190
2011,2,Yangcheon,83,2,125
2011,3,Yangcheon,117,0,160
2011,4,Yangcheon,143,3,187
2011,5,Yangcheon,129,0,189
2011,6,Yangcheon,122,1,167
2011,7,Yangcheon,127,1,173
2011,8,Yangcheon,114,1,155
2011,9,Yangcheon,111,1,154
2011,10,Yangcheon,134,2,179
2011,11,Yangcheon,136,0,173
2011,12,Yangcheon,106,1,154
2011,1,Gangseo,133,1,177
2011,2,Gangseo,130,0,181
2011,3,Gangseo,144,1,205
2011,4,Gangseo,165,3,244
2011,5,Gangseo,173,1,232
2011,6,Gangseo,156,0,233
2011,7,Gangseo,162,1,239
2011,8,Gangseo,168,1,242
2011,9,Gangseo,178,3,285
2011,10,Gangseo,166,1,250
2011,11,Gangseo,161,2,238
2011,12,Gangseo,149,2,214
2011,1,Guro,124,2,188
2011,2,Guro,112,2,166
2011,3,Guro,122,0,164
2011,4,Guro,126,0,199
2011,5,Guro,125,2,174
2011,6,Guro,133,2,176
2011,7,Guro,115,1,160
2011,8,Guro,130,2,180
2011,9,Guro,116,2,173
2011,10,Guro,142,0,194
2011,11,Guro,154,1,224
2011,12,Guro,143,1,228
2011,1,Geumcheon,83,2,103
2011,2,Geumcheon,79,1,129
2011,3,Geumcheon,95,0,176
2011,4,Geumcheon,95,2,143
2011,5,Geumcheon,105,1,144
2011,6,Geumcheon,86,1,124
2011,7,Geumcheon,101,0,155
2011,8,Geumcheon,78,1,111
2011,9,Geumcheon,101,0,131
2011,10,Geumcheon,97,0,133
2011,11,Geumcheon,107,0,148
2011,12,Geumcheon,98,2,152
2011,1,Yeongdeungpo,181,1,268
2011,2,Yeongdeungpo,141,4,224
2011,3,Yeongdeungpo,176,2,238
2011,4,Yeongdeungpo,217,3,318
2011,5,Yeongdeungpo,233,1,324
2011,6,Yeongdeungpo,192,2,281
2011,7,Yeongdeungpo,200,2,269
2011,8,Yeongdeungpo,180,4,272
2011,9,Yeongdeungpo,182,2,263
2011,10,Yeongdeungpo,212,1,301
2011,11,Yeongdeungpo,194,2,291
2011,12,Yeongdeungpo,202,4,277
2011,1,Dongjak,88,1,132
2011,2,Dongjak,82,0,127
